key;name;last analysis;ncloc;new_violations;new_bugs;complexity;coverage;sqale_index
P4925;P4925;2017-01-24T14:35:55+0100;45;;;5;;4
K5096;P5096;2017-02-08T12:12:59+0100;45;;;10;;110
K5097;P5097;2017-02-09T10:08:02+0100;91;;;22;;132
K53565;P5356;2017-03-27T21:53:56+0200;7201;;;1722;;6650
K5375;P5375;2017-06-07T13:41:41+0200;57;;;9;;348
K5401;P5401;2017-03-10T11:17:35+0100;61;;;1;;97
K5412;P5412;2017-03-10T11:17:25+0100;110;;;22;;183
K5428;P5428;2017-03-17T19:02:25+0100;37;;;2;;65
K:5536;P5536;2017-03-22T16:30:28+0100;37;;;2;;20
K5561;P5561;2017-03-23T15:45:47+0100;50;;;6;;25
K6669;P6669;2017-06-26T11:21:25+0200;336;;;29;;79
K6735;P6735;2017-07-07T14:07:20+0200;250;;;43;;395
K7373;P7373;2017-09-21T16:57:46+0200;1089;;;179;;472
K7373:foo;P7373 foo;2017-09-21T16:51:37+0200;1089;;;179;;202
K7377;P7377;2017-09-18T14:41:31+0200;47;;;7;;0
K7378;P7378;2017-09-19T11:02:33+0200;33;;;4;;20
K7379;P7379;2017-09-19T10:57:50+0200;65;;;2;;0
K7398;P7398;2017-09-19T15:38:20+0200;35;;;9;;160
